CLASS;SUBCLASS;VARIABLE;VALUE
INFLOW;PRECIPITATION;Rainfall;0.49417193318839714
INFLOW;PRECIPITATION;Snowfall;0.0
INFLOW;PRECIPITATION;Precipitation recycling;0.016965179341093213
INFLOW;SURFACE WATER;Main riverstem;0.0
INFLOW;SURFACE WATER;Tributaries;0.0
INFLOW;SURFACE WATER;Utilized surface water;0.0
INFLOW;SURFACE WATER;Flood;0.0
INFLOW;GROUNDWATER;Natural;0.0
INFLOW;GROUNDWATER;Utilized;0.0
INFLOW;OTHER;Desalinized;0.0
STORAGE;CHANGE;Surface storage;0.9025100677804723
STORAGE;CHANGE;Storage in sinks;0.0
OUTFLOW;ET LANDSCAPE;Protected;0.019027519770105594
OUTFLOW;ET LANDSCAPE;Utilized;0.011824902713692482
OUTFLOW;ET LANDSCAPE;Modified;0.19207696253165094
OUTFLOW;ET LANDSCAPE;Managed;0.24159555445191203
OUTFLOW;ET UTILIZED FLOW;Protected;0.01850432457567487
OUTFLOW;ET UTILIZED FLOW;Utilized;0.009284818726657665
OUTFLOW;ET UTILIZED FLOW;Modified;0.15410064975695767
OUTFLOW;ET UTILIZED FLOW;Managed;0.3722540145298441
OUTFLOW;ET INCREMENTAL;Manmade;0.20184423452800954
OUTFLOW;ET INCREMENTAL;Natural;0.1818897930592902
OUTFLOW;SURFACE WATER;Main riverstem;0.565388213255302
OUTFLOW;SURFACE WATER;Tributaries;0.0
OUTFLOW;SURFACE WATER;Utilized surface water;0.0
OUTFLOW;SURFACE WATER;Flood;0.0
OUTFLOW;SURFACE WATER;Interbasin transfer;0
OUTFLOW;GROUNDWATER;Natural;0.0
OUTFLOW;GROUNDWATER;Utilized;0.0
OUTFLOW;OTHER;Non-utilizable;0.0
OUTFLOW;OTHER;Other;0.0
OUTFLOW;RESERVED;Commited;0.2716211361609913
OUTFLOW;RESERVED;Navigational;0.0
OUTFLOW;RESERVED;Environmental;0.0
