LANDUSE_TYPE;SUPPLY_SURFACEWATER;SUPPLY_GROUNDWATER;CONSUMED_ET;CONSUMED_OTHER;NON_CONVENTIONAL_ET;RECOVERABLE_SURFACEWATER;RECOVERABLE_GROUNDWATER;NON_RECOVERABLE_SURFACEWATER;NON_RECOVERABLE_GROUNDWATER;DEMAND
Forests;3.755622236101543e-05;0.03751866613986271;0.017086631334525374;0.0;0.0;0.0;0.020469591106396776;0.0;0.0;0.002839798373975868
Shrubland;4.047710238573838e-06;0.004043662528465491;0.003200606201978787;0.0;0.0;0.0;0.0008471040323542347;0.0;0.0;0.0005806239913359939
Rainfed Crops;4.797950845516153e-05;0.04793152894825001;0.04460629189998533;0.0;0.0;0.0;0.0033732163961944714;0.0;0.0;0.013354309230035478
Forest Plantations;1.7268764343812958e-05;0.017251495580024732;0.01561299284185233;0.0;0.0;0.0;0.0016557714891901238;0.0;0.0;0.006560337915830906
Natural Water Bodies;0.00034860341673699415;1.8347548261121438e-05;0.00022919153098093815;0.0;0.0;0.0;0.0001377594324827179;0.0;0.0;0.0034972014920388933
Wetlands;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Natural Grasslands;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Other (Non-Manmade);7.479489573804232e-06;7.479489574285507e-06;8.970056877157608e-06;0.0;0.0;0.0;5.988922608573467e-06;0.0;0.0;1.5498138093405943e-06
Irrigated crops;0.05244599163927166;0.0005297604763392773;0.0322582470034756;0.0;0.0;0.014702795144017587;0.0022055306783413248;0.0030762896475369146;0.0007328894350862351;0.010137155360646912
Managed water bodies;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Aquaculture;0.017862449379917753;0.0009401289153374508;0.008074508924349157;0.0;0.0;0.009393051183301138;6.934592767574709e-06;0.0013269840507138132;1.0995171059639933e-06;0.0002649531150148059
Residential;0.01668505763520271;0.001853895293396755;0.011130077830864891;0.0;0.0;0.0;0.0;0.006699715198611537;0.0007091598353207719;4.577305516180262e-06
Greenhouses;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Other;0.008086632250782159;0.0008985146948204304;0.005493651975314307;0.0;0.0;0.0;0.0;0.0031906838919650727;0.0003008110453557697;2.3552563623637253e-06
Industry;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
Power and Energy;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
