TYPE;SUBTYPE;VALUE
Forests;VERTICAL_RECHARGE;0.15337769077983013
Shrubland;VERTICAL_RECHARGE;0.029591795952840998
Rainfed Crops;VERTICAL_RECHARGE;0.5424984312266288
Forest Plantations;VERTICAL_RECHARGE;0.21029841376892178
Natural Water Bodies;VERTICAL_RECHARGE;0.004511561014879553
Wetlands;VERTICAL_RECHARGE;0.0
Natural Grasslands;VERTICAL_RECHARGE;0.0
Other (Non-Manmade);VERTICAL_RECHARGE;9.445275935028115e-05
Irrigated crops;VERTICAL_RECHARGE;0.3593171377260684
Managed water bodies;VERTICAL_RECHARGE;0.0
Aquaculture;VERTICAL_RECHARGE;0.014443456263443892
Residential;VERTICAL_RECHARGE;0.08843174265026423
Greenhouses;VERTICAL_RECHARGE;0.0
Other;VERTICAL_RECHARGE;0.04554871924874477
Forests;VERTICAL_GROUNDWATER_WITHDRAWALS;0.019254417866388214
Shrubland;VERTICAL_GROUNDWATER_WITHDRAWALS;0.004089130510378557
Rainfed Crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.06912142494800333
Forest Plantations;VERTICAL_GROUNDWATER_WITHDRAWALS;0.02957465546697218
Natural Water Bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;1.7243953379197678e-05
Wetlands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Natural Grasslands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other (Non-Manmade);VERTICAL_GROUNDWATER_WITHDRAWALS;7.726355210843356e-06
Irrigated crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0011733680088184164
Managed water bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Aquaculture;VERTICAL_GROUNDWATER_WITHDRAWALS;7.962488837837884e-06
Residential;VERTICAL_GROUNDWATER_WITHDRAWALS;0.003103337111298581
Greenhouses;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0013117446079385553
Forests;RETURN_FLOW_GROUNDWATER;4.2278251296191005e-10
Shrubland;RETURN_FLOW_GROUNDWATER;3.600447344770928e-11
Rainfed Crops;RETURN_FLOW_GROUNDWATER;4.1051025341620174e-10
Forest Plantations;RETURN_FLOW_GROUNDWATER;1.870159343405398e-10
Natural Water Bodies;RETURN_FLOW_GROUNDWATER;7.117945173333153e-13
Wetlands;RETURN_FLOW_GROUNDWATER;0.0
Natural Grasslands;RETURN_FLOW_GROUNDWATER;0.0
Other (Non-Manmade);RETURN_FLOW_GROUNDWATER;1.2404614476096885e-17
Irrigated crops;RETURN_FLOW_GROUNDWATER;0.0003618687786188968
Managed water bodies;RETURN_FLOW_GROUNDWATER;0.0
Aquaculture;RETURN_FLOW_GROUNDWATER;0.0
Residential;RETURN_FLOW_GROUNDWATER;0.0009322205975056661
Greenhouses;RETURN_FLOW_GROUNDWATER;0.0
Other;RETURN_FLOW_GROUNDWATER;0.00034980168549334796
Forests;RETURN_FLOW_SURFACEWATER;4.2320571868059056e-13
Shrubland;RETURN_FLOW_SURFACEWATER;3.604051396167096e-14
Rainfed Crops;RETURN_FLOW_SURFACEWATER;4.1092117459079243e-13
Forest Plantations;RETURN_FLOW_SURFACEWATER;1.872031374780178e-13
Natural Water Bodies;RETURN_FLOW_SURFACEWATER;1.3524095829332978e-11
Wetlands;RETURN_FLOW_SURFACEWATER;0.0
Natural Grasslands;RETURN_FLOW_SURFACEWATER;0.0
Other (Non-Manmade);RETURN_FLOW_SURFACEWATER;1.2404614476096885e-17
Irrigated crops;RETURN_FLOW_SURFACEWATER;0.03582630876159952
Managed water bodies;RETURN_FLOW_SURFACEWATER;0.0
Aquaculture;RETURN_FLOW_SURFACEWATER;0.0
Residential;RETURN_FLOW_SURFACEWATER;0.008389985377550998
Greenhouses;RETURN_FLOW_SURFACEWATER;0.0
Other;RETURN_FLOW_SURFACEWATER;0.003148215169440133
Industry;VERTICAL_RECHARGE;nan
Industry;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Industry;RETURN_FLOW_GROUNDWATER;nan
Industry;RETURN_FLOW_SURFACEWATER;nan
Glaciers;VERTICAL_RECHARGE;nan
Glaciers;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Glaciers;RETURN_FLOW_GROUNDWATER;nan
Glaciers;RETURN_FLOW_SURFACEWATER;nan
NON_LU_SPECIFIC;CapillaryRise;0.0012634926670928718
NON_LU_SPECIFIC;DeltaS;nan
NON_LU_SPECIFIC;ManagedAquiferRecharge;nan
NON_LU_SPECIFIC;Baseflow;1.0063750459710674
NON_LU_SPECIFIC;GWInflow;nan
NON_LU_SPECIFIC;GWOutflow;nan
