TYPE;SUBTYPE;VALUE
Forests;VERTICAL_RECHARGE;1.3290789589239542
Shrubland;VERTICAL_RECHARGE;0.2407345843573252
Rainfed Crops;VERTICAL_RECHARGE;4.4655442045130895
Forest Plantations;VERTICAL_RECHARGE;1.7514726882461085
Natural Water Bodies;VERTICAL_RECHARGE;0.04144923690467536
Wetlands;VERTICAL_RECHARGE;0.0
Natural Grasslands;VERTICAL_RECHARGE;0.0
Other (Non-Manmade);VERTICAL_RECHARGE;0.0008785737925178179
Irrigated crops;VERTICAL_RECHARGE;3.362167986582002
Managed water bodies;VERTICAL_RECHARGE;0.0
Aquaculture;VERTICAL_RECHARGE;0.2153888470624374
Residential;VERTICAL_RECHARGE;0.8125051274953101
Greenhouses;VERTICAL_RECHARGE;0.0
Other;VERTICAL_RECHARGE;0.41987312219626005
Forests;VERTICAL_GROUNDWATER_WITHDRAWALS;0.2891685023814734
Shrubland;VERTICAL_GROUNDWATER_WITHDRAWALS;0.05163675365672808
Rainfed Crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.9938629253896827
Forest Plantations;VERTICAL_GROUNDWATER_WITHDRAWALS;0.3768056593878481
Natural Water Bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0005083468256599513
Wetlands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Natural Grasslands;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other (Non-Manmade);VERTICAL_GROUNDWATER_WITHDRAWALS;0.00011130463268182206
Irrigated crops;VERTICAL_GROUNDWATER_WITHDRAWALS;0.017580607171438556
Managed water bodies;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Aquaculture;VERTICAL_GROUNDWATER_WITHDRAWALS;0.010335035728874618
Residential;VERTICAL_GROUNDWATER_WITHDRAWALS;0.04936196648595577
Greenhouses;VERTICAL_GROUNDWATER_WITHDRAWALS;0.0
Other;VERTICAL_GROUNDWATER_WITHDRAWALS;0.022615530027308955
Forests;RETURN_FLOW_GROUNDWATER;0.03885168042800058
Shrubland;RETURN_FLOW_GROUNDWATER;0.0008576163071402826
Rainfed Crops;RETURN_FLOW_GROUNDWATER;0.005611262878479478
Forest Plantations;RETURN_FLOW_GROUNDWATER;0.0018747044663648949
Natural Water Bodies;RETURN_FLOW_GROUNDWATER;1.75871039664911e-05
Wetlands;RETURN_FLOW_GROUNDWATER;0.0
Natural Grasslands;RETURN_FLOW_GROUNDWATER;0.0
Other (Non-Manmade);RETURN_FLOW_GROUNDWATER;2.994460393649497e-06
Irrigated crops;RETURN_FLOW_GROUNDWATER;0.0032225525997471773
Managed water bodies;RETURN_FLOW_GROUNDWATER;0.0
Aquaculture;RETURN_FLOW_GROUNDWATER;1.2111222454007712e-05
Residential;RETURN_FLOW_GROUNDWATER;0.00915829418326843
Greenhouses;RETURN_FLOW_GROUNDWATER;0.0
Other;RETURN_FLOW_GROUNDWATER;0.0035340199847433014
Forests;RETURN_FLOW_SURFACEWATER;3.8890570998999584e-05
Shrubland;RETURN_FLOW_SURFACEWATER;8.584747819222047e-07
Rainfed Crops;RETURN_FLOW_SURFACEWATER;5.616879758237715e-06
Forest Plantations;RETURN_FLOW_SURFACEWATER;1.8765810474123072e-06
Natural Water Bodies;RETURN_FLOW_SURFACEWATER;0.0003341549753633306
Wetlands;RETURN_FLOW_SURFACEWATER;0.0
Natural Grasslands;RETURN_FLOW_SURFACEWATER;0.0
Other (Non-Manmade);RETURN_FLOW_SURFACEWATER;2.994460393649497e-06
Irrigated crops;RETURN_FLOW_SURFACEWATER;0.319043738354247
Managed water bodies;RETURN_FLOW_SURFACEWATER;0.0
Aquaculture;RETURN_FLOW_SURFACEWATER;0.0002301132266261463
Residential;RETURN_FLOW_SURFACEWATER;0.08242464764941589
Greenhouses;RETURN_FLOW_SURFACEWATER;0.0
Other;RETURN_FLOW_SURFACEWATER;0.03180617986268973
Industry;VERTICAL_RECHARGE;nan
Industry;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Industry;RETURN_FLOW_GROUNDWATER;nan
Industry;RETURN_FLOW_SURFACEWATER;nan
Glaciers;VERTICAL_RECHARGE;nan
Glaciers;VERTICAL_GROUNDWATER_WITHDRAWALS;nan
Glaciers;RETURN_FLOW_GROUNDWATER;nan
Glaciers;RETURN_FLOW_SURFACEWATER;nan
NON_LU_SPECIFIC;CapillaryRise;0.017893711016603427
NON_LU_SPECIFIC;DeltaS;nan
NON_LU_SPECIFIC;ManagedAquiferRecharge;nan
NON_LU_SPECIFIC;Baseflow;7.655245713149694
NON_LU_SPECIFIC;GWInflow;nan
NON_LU_SPECIFIC;GWOutflow;nan
