LAND_USE;VARIABLE;SERVICE;VALUE;UNITS
PROTECTED;Total Runoff;Non-consumptive;0.029;km3
PROTECTED;Groundwater Recharge;Non-consumptive;0.099;km3
PROTECTED;Natural Feed Production;Incremental ET natural;5.701;t
PROTECTED;Natural Feed Production;Landscape ET;4.184;t
PROTECTED;Natural Fuel Wood Production;Incremental ET natural;2.894;t
PROTECTED;Natural Fuel Wood Production;Landscape ET;2.408;t
PROTECTED;Dry Season Baseflow;Non-consumptive;0.029;km3
PROTECTED;Root Zone Water Storage;Non-consumptive;0.244;km3
PROTECTED;Atmospheric Water Recycling;Incremental ET natural;0.001;km3
PROTECTED;Atmospheric Water Recycling;Landscape ET;0.000;km3
UTILIZED;Total Runoff;Non-consumptive;0.018;km3
UTILIZED;Groundwater Recharge;Non-consumptive;0.045;km3
UTILIZED;Natural Feed Production;Incremental ET natural;3.602;t
UTILIZED;Natural Feed Production;Landscape ET;1.225;t
UTILIZED;Natural Fuel Wood Production;Incremental ET natural;1.530;t
UTILIZED;Natural Fuel Wood Production;Landscape ET;0.687;t
UTILIZED;Dry Season Baseflow;Non-consumptive;0.018;km3
UTILIZED;Root Zone Water Storage;Non-consumptive;0.129;km3
UTILIZED;Atmospheric Water Recycling;Incremental ET natural;0.000;km3
UTILIZED;Atmospheric Water Recycling;Landscape ET;0.000;km3
MODIFIED;Total Runoff;Non-consumptive;0.256;km3
MODIFIED;Groundwater Recharge;Non-consumptive;0.331;km3
MODIFIED;Natural Feed Production;Incremental ET natural;133.916;t
MODIFIED;Natural Feed Production;Landscape ET;49.516;t
MODIFIED;Natural Fuel Wood Production;Incremental ET natural;0.000;t
MODIFIED;Natural Fuel Wood Production;Landscape ET;0.000;t
MODIFIED;Dry Season Baseflow;Non-consumptive;0.256;km3
MODIFIED;Root Zone Water Storage;Non-consumptive;0.756;km3
MODIFIED;Atmospheric Water Recycling;Incremental ET natural;0.004;km3
MODIFIED;Atmospheric Water Recycling;Landscape ET;0.002;km3
MANAGED;Total Runoff;Non-consumptive;0.417;km3
MANAGED;Groundwater Recharge;Non-consumptive;0.110;km3
MANAGED;Natural Feed Production;Incremental ET natural;92.934;t
MANAGED;Natural Feed Production;Landscape ET;23.283;t
MANAGED;Natural Fuel Wood Production;Incremental ET natural;0.000;t
MANAGED;Natural Fuel Wood Production;Landscape ET;0.000;t
MANAGED;Dry Season Baseflow;Non-consumptive;0.277;km3
MANAGED;Root Zone Water Storage;Non-consumptive;0.486;km3
MANAGED;Atmospheric Water Recycling;Incremental ET natural;0.006;km3
MANAGED;Atmospheric Water Recycling;Landscape ET;0.002;km3
