Start;End
01/10/2000;01/04/2001
01/05/2001;01/09/2001
01/10/2001;01/04/2002
01/05/2002;01/09/2002
01/10/2002;01/04/2003
01/05/2003;01/09/2003
01/10/2003;01/04/2004
01/05/2004;01/09/2004
01/10/2004;01/04/2005
01/05/2005;01/09/2005
01/10/2005;01/04/2006
01/05/2006;01/09/2006
01/10/2006;01/04/2007
01/05/2007;01/09/2007
01/10/2007;01/04/2008
01/05/2008;01/09/2008
01/10/2008;01/04/2009
01/05/2009;01/09/2009
01/10/2009;01/04/2010
01/05/2010;01/09/2010
01/10/2010;01/04/2011
01/05/2011;01/09/2011
01/10/2011;01/04/2012
01/05/2012;01/09/2012
01/10/2012;01/04/2013
01/05/2013;01/09/2013
01/10/2013;01/04/2014
01/05/2014;01/09/2014
01/10/2014;01/04/2015
